Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,file_speech,length (s),level_0,Unnamed: 0,file_rir,room,dataset,vol,computed_rt60,rt60,snr,clip_label,file_clip,split,log_vol,log_rt60,log_vol_norm,vol_dnorm,log_rt60_norm,rt60_dnorm,file_feature,boundary_point,rir_sr,BP
3,3,4,/home/cxw/GAN/own_dataset/voice_ace/Speech/M4s4.wav,77.58721088,271,271,/home/cxw/GAN/own_dataset/rirs/BUT_ReverbDB/VUT_FIT_C236/MicID01/SpkID02_20190503_S/01/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,VUT_FIT_C236,BUT_ReverbDB,102.1183832,0.959625,0.93413125,0,clip0_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip0_snr_0db.wav,train,2.00910393,1.768842685,0.287702983,2.00910393,0.213717323,1.768842685,/home/cxw/sonos_rirs/features/080122_5k_phase/clip0_snr_0db.npz,66.81,48000,3206
7,7,8,/home/cxw/GAN/own_dataset/voice_ace/Speech/M5s4.wav,96.99868481,216,216,/home/cxw/GAN/own_dataset/rirs/openair/st-margarets-church-national-centre-early-music/b-format/r2_2nd_configuration.wav,st-margarets-church-national-centre-early-music,openair,2600.0,13.279375,13.64459215,0,clip1_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip1_snr_0db.wav,val,3.414973348,4.015500611,0.720624146,3.414973348,0.905549543,4.015500611,/home/cxw/sonos_rirs/features/080122_5k_phase/clip1_snr_0db.npz,150.4,48000,7219
11,11,12,/home/cxw/GAN/own_dataset/voice_ace/Speech/M9s3.wav,12.30077098,438,438,/home/cxw/GAN/own_dataset/rirs/dechorate_dataset/2_9.wav,cuboid_room,dechorate,86.4,5.3051875,5.287554775,0,clip2_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip2_snr_0db.wav,train,1.936513742,3.221236976,0.265349678,1.936513742,0.660965279,3.221236976,/home/cxw/sonos_rirs/features/080122_5k_phase/clip2_snr_0db.npz,158.75,48000,7620
15,15,16,/home/cxw/GAN/own_dataset/voice_ace/Speech/F3s5.wav,12.6770068,337,337,/home/cxw/GAN/own_dataset/rirs/C4DM/classroomOmni/Omni/40x40y.wav,classroom,C4DM,236.0,1.844875,1.854630102,0,clip3_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip3_snr_0db.wav,val,2.372912003,2.343454506,0.399733455,2.372912003,0.390662361,2.343454506,/home/cxw/sonos_rirs/features/080122_5k_phase/clip3_snr_0db.npz,179.06,48000,8594
19,19,20,/home/cxw/GAN/own_dataset/voice_ace/Speech/F3s5.wav,12.6770068,245,245,/home/cxw/GAN/own_dataset/rirs/openair/usina-del-arte-symphony-hall/b-format/ir_w_m5.s1.wav,usina-del-arte-symphony-hall,openair,40.0,2.759625,2.818421875,0,clip4_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip4_snr_0db.wav,train,1.602059991,2.69408455,0.162358529,1.602059991,0.498634811,2.69408455,/home/cxw/sonos_rirs/features/080122_5k_phase/clip4_snr_0db.npz,1014.4,48000,48691
23,23,24,/home/cxw/GAN/own_dataset/voice_ace/Speech/M3s4.wav,78.63428571,293,293,/home/cxw/GAN/own_dataset/rirs/BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID04_20171229_S/01/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,VUT_FIT_L207,BUT_ReverbDB,99.50840172,0.9221875,0.898902778,0,clip5_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip5_snr_0db.wav,test,1.997859751,1.736634304,0.284240469,1.997859751,0.203799126,1.736634304,/home/cxw/sonos_rirs/features/080122_5k_phase/clip5_snr_0db.npz,55.88,48000,2682
27,27,28,/home/cxw/GAN/own_dataset/voice_ace/Speech/F2s4.wav,74.94340136,298,298,/home/cxw/GAN/own_dataset/rirs/BUT_ReverbDB/VUT_FIT_L212/MicID01/SpkID02_20170820_T/01/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,VUT_FIT_L212,BUT_ReverbDB,107.6475,0.9153125,0.8921875,0,clip6_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip6_snr_0db.wav,train,2.032003948,1.730351686,0.294754778,2.032003948,0.201864467,1.730351686,/home/cxw/sonos_rirs/features/080122_5k_phase/clip6_snr_0db.npz,47.06,48000,2258
31,31,32,/home/cxw/GAN/own_dataset/voice_ace/Speech/M3s3.wav,11.29501134,477,477,/home/cxw/GAN/own_dataset/rirs/dechorate_dataset/5_9.wav,cuboid_room,dechorate,86.4,5.280625,5.287554775,0,clip7_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip7_snr_0db.wav,train,1.936513742,3.221236976,0.265349678,1.936513742,0.660965279,3.221236976,/home/cxw/sonos_rirs/features/080122_5k_phase/clip7_snr_0db.npz,188.25,48000,9036
35,35,36,/home/cxw/GAN/own_dataset/voice_ace/Speech/F5s4.wav,76.12503401,345,345,/home/cxw/GAN/own_dataset/rirs/C4DM/classroomOmni/Omni/55x25y.wav,classroom,C4DM,236.0,1.8405,1.854630102,0,clip8_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip8_snr_0db.wav,test,2.372912003,2.343454506,0.399733455,2.372912003,0.390662361,2.343454506,/home/cxw/sonos_rirs/features/080122_5k_phase/clip8_snr_0db.npz,195.64,48000,9390
39,39,40,/home/cxw/GAN/own_dataset/voice_ace/Speech/M2s4.wav,74.67678005,173,173,/home/cxw/GAN/own_dataset/rirs/openair/st-margarets-church-national-centre-early-music/b-format/r14_1st_configuration.wav,st-margarets-church-national-centre-early-music,openair,2600.0,11.4875625,13.64459215,0,clip9_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip9_snr_0db.wav,train,3.414973348,4.015500611,0.720624146,3.414973348,0.905549543,4.015500611,/home/cxw/sonos_rirs/features/080122_5k_phase/clip9_snr_0db.npz,19.58,48000,939
43,43,44,/home/cxw/GAN/own_dataset/voice_ace/Speech/M2s3.wav,12.22231293,372,372,/home/cxw/GAN/own_dataset/rirs/C4DM/octagonOmni/Omni/x04y06.wav,octagon,C4DM,9500.0,1.9,1.877630859,0,clip10_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip10_snr_0db.wav,train,3.977723605,2.353781353,0.893916553,3.977723605,0.393842393,2.353781353,/home/cxw/sonos_rirs/features/080122_5k_phase/clip10_snr_0db.npz,148.69,48000,7137
